Title,Date,End,Description,Media,Place,Location,Location_Original,Source,Source URL
Coalition of Trade Union Women holds first meeting.,23/03/1974,,"<p>On March 23, 1974, the Coalition of Labor Union Women formed. A nonprofit organization within the AFL-CIO, the CLUW seeks to improve the standing of women within the union movement, as well as to organize more women into unions and promote union and legislative policies that help working-class women. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2013/03/this-day-in-labor-history-march-23-1974"">Read whole article</a></p>",,"Chicago,IL","41.8755616,-87.6244212",,,
Truman nationalizes steel industry.,08/04/1952,,"<p>On April 8, 1952, President Harry Truman nationalized the steel industry in order to forestall a strike scheduled the next day that would have shut down steel production during the Korean War. This action, which outraged steel owners, was part of Truman’s commitment to labor unions he showed throughout his presidency, even during a time of conservative backlash during organized labor’s gains of the 1930s. It also showed the limits of what courts would allow the executive to do to support labor unions in the Cold War. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2013/04/this-day-in-labor-history-april-8-1952"">Read whole article</a></p>",,,#N/A,,,
OSHA begins,28/04/1971,,"<p>On April 28, 1971, the Occupational Safety and Health Administration opened its doors. The creation of OSHA proved to be one the greatest victory in American history for workplace health. Unfortunately, OSHA could never live up to its potential to revolutionize the workplace due to the organized resistance of corporations, the conservative movement that would transform American politics beginning in the late 1970s, and regulatory capture that limited the agency’s effectiveness. That said, OSHA has done a tremendous amount to improve workers’ lives. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2013/04/this-day-in-labor-history-april-28-1971"">Read whole article</a></p>",,Wisconsin,"44.4308975,-89.6884637",,,
Wisconsin passes first workers compensation law,03/05/1911,,"<p>On May 3, 1911, Wisconsin created the first workers compensation program, followed almost immediately by Washington and most of the Northwestern states. This was the beginning of a system, albeit quite limited even now, to compensate workers properly when they are injured or killed on the job. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2013/05/this-day-in-labor-history-may-3-1911"">Read whole article</a></p>",,Wisconsin,"44.4308975,-89.6884637",,,
Chinese Exclusion Act,06/05/1882,,"<p>On May 6, 1882, President Chester Alan Arthur signed the Chinese Exclusion Act. Although not often seen by the general public as part of our labor history, the Chinese Exclusion Act was the first legislative victory for organized labor in this country. It generated out of the discontent of white labor in the American West toward Chinese competition in general and specifically out of the Workingmen’s Party, a political organization of California’s white working class that threatened to overthrow the state’s two-party system if its major concern was not addressed. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2013/05/this-day-in-labor-history-may-6-1882"">Read whole article</a></p>",,,#N/A,,,
Kader Toy Fire.,10/05/1993,,"<p>On May 10, 1993, the Kader toy factory in the Nakhom Pathom province of Thailand, just outside of Bangkok, caught on fire, killing 188 workers, severely injuring over 500, and breaking the all-time death toll for a factory workplace, previously held by the Triangle Shirtwaist Fire in New York in 1911. The largest workplace disaster in Thai history, the Kader fire should have demonstrated the to the world the very real costs of outsourcing unsafe working conditions to the world’s poor countries. Unfortunately, the event received relatively little media attention and created no momentum for improving safety standards in the world’s factories. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2013/05/this-day-in-labor-history-may-10-1993"">Read whole article</a></p>",,"Bangkok, Thailand","13.7538929,100.8160803",,,
"Anthracite coal miners strike in Pennsylvania begins, TR mediates",12/05/1902,,"<p>On May 12, 1902, coal miners in Pennsylvania’s anthracite fields went on strike. There were many strikes in the coal fields during the Gilded Age, but this one has special significance because the refusal of the industry to negotiate pushed the strike into the fall and placed urban Americans’ heating supplies in grave danger. That convinced President Theodore Roosevelt to intervene in the strike, but unlike his predecessors Rutherford Hayes and Grover Cleveland, he acted as a neutral arbitrator rather than use the U.S. military to crush the strike. This marked the first time in American history a president had involved himself in a labor dispute in any capacity other than strikebreaker. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2013/05/this-day-in-labor-history-may-12-1902"">Read whole article</a></p>",,Pennsylvania,"40.9699889,-77.7278831",,,
Battle of the Overpass.,26/05/1937,,"<p>On May 26, 1937, United Auto Workers organizers, including future president Walter Reuther, walked toward the Ford Motor Company’s giant River Rouge plant in Dearborn, Michigan to hand out pro-union leaflets to workers. As they crossed an overpass toward the plant, Ford’s private army, led by his right-hand man Harry Bennett, savagely beat them, then denied it despite photographic evidence and national outrage. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2013/05/this-day-in-labor-history-may-26-1937"">Read whole article</a></p>",,"Dearborn, Michigan","42.3222599,-83.1763145",,,
Paterson Silk Pageant,07/06/1913,,"<p>On June 7, 1913, the supporters of the Industrial Workers of the World led textile worker strike in Paterson, New Jersey held the Paterson Strike Pageant at Madison Square Garden in New York City. The only such stage of production of strikers in American history, perhaps nothing demonstrates both the great skills and significant limitations of the IWW more than the strike pageant and its aftermath. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2013/06/this-day-in-labor-history-june-7-1913"">Read whole article</a></p>",,"Paterson, New Jersey","40.9167654,-74.171811",,,
Davis Day,11/06/1925,,"<p><em>This is a guest post by Jacob Remes, who is assistant professor and mentor at SUNY Empire State College, where he teaches public affairs and history. His book, Disaster Citizenship: Urban Disasters and the Formation of the North American Progressive State, is forthcoming from the University of Illinois Press. He tweets at @jacremes.</em></p><p>Today in 1925, soldiers in New Waterford, Nova Scotia, shot and killed William Davis, a striking coal miner. Members of District 26 of the United Mine Workers, representing miners in Nova Scotia, have never worked on June 11 since.</p><p><a href=""http://www.lawyersgunsmoneyblog.com/2013/06/this-day-in-labor-history-june-11-1925"">Read whole article</a></p>",,"New Waterford, Nova Scotia","46.2483846,-60.0873491",,,
Eugene Debs arrested for violating Espionage Act.,16/06/1918,,"<p>On June 16, 1918, the socialist leader and former head of the American Railway Union Eugene Debs gave a speech in Canton, Ohio, criticizing the United States’ actions in World War I and urging resistance to the draft. Two weeks later, Debs was arrested under the Espionage Act and charged with ten counts of sedition.</p><p><a href=""http://www.lawyersgunsmoneyblog.com/2013/06/this-day-in-labor-history-june-16-1918"">Read whole article</a></p>",,"Canton, Ohio","40.7989522,-81.3784445",,,
Molly Maguires executed in Pennsylvania,21/06/1877,,"<p>On June 21, 1877, ten alleged members of the Molly Maguires, an Irish secret society blamed for labor radicalism in the anthracite country of Pennsylvania, were executed.</p><p><a href=""http://www.lawyersgunsmoneyblog.com/2013/06/this-day-in-labor-history-june-21-1877"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2013/06/photo6.jpg,Pennsylvania,"40.9699889,-77.7278831",,,
Denmark Vesey executed for planning slave revolt in South Carolina.,02/07/1822,,"<p>On July 2, 1822, Denmark Vesey, a free African-American living in Charleston, South Carolina, was executed for his role in leading a purported slave rebellion. This event marked a significant increase in southern surveillance and oppression of free blacks and demonstrates the very real fear the South had of its slave labor force rising en masse and murdering whites. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2013/07/this-day-in-labor-history-july-2-1822"">Read whole article</a></p>",,"Charleston, South Carolina","32.7876012,-79.9402728",,,
Port Chicago explosion,17/07/1944,,"<p>On July 17, 1944, a munitions explosion at the Port Chicago Naval Magazine in Port Chicago, California killed 320 soldiers, mostly African-Americans loading munitions onto ships. This spurred them to demand improved conditions. When conditions did not improve, a group refused to load the munitions. Charged with mutiny, fifty were sentenced to long prison terms. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2013/07/this-day-in-labor-history-july-17-1944"">Read whole article</a></p>",,"Port Chicago, CA","14.5907783,120.9663103",,,
Frank Little lynched in Butte.,01/08/1917,,"<p>On August 1, 1917, Frank Little, a veteran IWW organizer, was dragged out of his hotel in Butte, Montana by company thugs and lynched. His murder, one of the most famous killings of a labor organizer in American history, demonstrated the lengths to which mining companies were willing to go to keep their company towns under control. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2013/08/this-day-in-labor-history-august-1-1917"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2013/07/Frank-little-d-1917.jpg,"Butte, Montana","46.0131505,-112.5365089",,,
Wheatland Riot,03/08/1913,,"<p>On August 3, 1913, the Wheatland Riot took place in California, leading to four deaths, including two workers and two law enforcement agents. A burst of violence caused by the police busting up a hopworkers strike, the event led to reforms for farmworkers and calls for increased state authority both to regulate working conditions and crack down on labor radicals. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2013/08/this-day-in-labor-history-august-3-1913"">Read whole article</a></p>",,"Wheatland, California","39.0098947,-121.4230133",,,
invention of electric washing machine transforms women’s unpaid domestic labor.,09/08/1910,,"<p>On August 9, 1910, the first patent was issued for the electric washing machine. I am going to use this seemingly random event as a jumping off point to explore one of the most forgotten labor sectors in American history—unpaid domestic labor in the home. Like many household technologies of the twentieth century, the washing machine created radical changes to housework, almost entirely done by women. While Americans almost always embrace technological advances with the zeal of religious converts, in fact the larger effects of household technologies have been complex and not always great for the women engaged in domestic labor in the home. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2013/08/this-day-in-labor-history-august-9-1910"">Read whole article</a></p>",,,#N/A,,,
FDR signs Social Security Act.,14/08/1935,,"<p>On August 14, 1935, President Franklin Delano Roosevelt signed the Social Security Act, bringing the modern welfare state to the American people and providing the nation’s poor long-desired old age insurance. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2013/08/this-day-in-labor-history-august-14-1935"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2013/08/image.jpg,,#N/A,,,
"Air Line Stewardesses Association, first flight attendant union, forms. ",22/08/1945,,"<p>On August 22, 1945, five airline stewardesses, as they were then called, formed the Air Line Stewardesses Association, wanting a labor union to give them a voice on a demanding, difficult job where they faced constant pressure about their bodies, poor working conditions, low pay, and restrictions on marriage status and age. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2013/08/this-day-in-labor-history-august-22-1945"">Read whole article</a></p>",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2013/08/00121930-stewardesses.jpg,,#N/A,,,
Battle of Blair Mountain,25/08/1921,,"<p>On August 25, 1921, the largest labor insurgency in American history and the largest civil uprising since the Civil War began in Logan County, West Virginia when 10,000 miners and their supporters went to war with 3000 coal mine executives and their hired thugs. The Battle of Blair Mountain is one of the least known major events in American history. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2013/08/this-day-in-labor-history-august-25-1921"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2013/08/bunker.jpg,West Virginia,"38.4758406,-80.8408415",,,
"Boston police go on strike, crushed by Massachusetts governor Calvin Coolidge.",09/09/1919,,"<p>On September 9, 1919, the police force in Boston went on strike, the most aggressive action to date by American public sector workers. The harsh response from the government of Massachusetts both set back public sector unionism and changed American political history. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2013/09/this-day-in-labor-history-september-9-1919"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2013/09/7498.preview.jpg,"Boston, MA","42.3602534,-71.0582912",,,
Lattimer Massacre,10/09/1897,,"<p>On September 10, 1897, Luzerne County sheriff deputies slaughtered 19 unarmed coal miners striking outside of Hazleton, Pennsylvania. The strikers, primarily German, Polish, Lithuanian, and Slovak immigrants, were fighting for decent wages and working conditions in the one of the most brutal industries in the nation. The Lattimer Massacre was a touchstone event in the history of the United Mine Workers of America, who used it to organize workers across the region. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2013/09/this-day-in-labor-history-september-10-1897"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2013/09/lattimer.jpg,"Hazleton, Pennsylvania","40.9646867,-75.9852789",,,
Iron Workers bomb Los Angeles Times building.,01/10/1910,,"<p>On October 1, 1910, International Association of Bridge and Structural Iron Workers member James McNamara blew up the Los Angeles Times building because the paper’s publisher, Harrison Gray Otis, was spearheading the city’s effort to crush unionism and remain an open shop alternative to heavily unionized San Francisco. The explosion and fire killed 21 people and wounded about 100 more, giving a black eye to the entire labor movement, embarrassing the American Federation of Labor, and setting back the labor movement in Los Angeles for decades. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2013/10/this-day-in-labor-history-october-1-1910"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2013/10/fa_412_timesbombing970.jpg,"Los Angeles,CA","34.0536909,-118.2427666",,,
"Closing of Storyville, New Orleans’ red light district. ",10/10/1917,,"<p>On October 10, 1917, the red light district of New Orleans, known as Storyville, closed due to the efforts of reformers seeking to eliminate vice from the city. During the Progressive Era, this was happening all over the country. The net effect was not to end sex work, but rather to change the working conditions of sex workers, making their lives and work much more dangerous and deadly. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2013/10/this-day-in-labor-history-october-10-1917"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2013/10/N_storyville_tom_andersons2_2_lg.jpg,"New Orleans, LA","29.9499323,-90.0701156",,,
"John Brown launches attack on federal arsenal at Harpers Ferry, Virginia in order to gather guns to free slave labor.",16/10/1859,,"<p>On October 16, 1859, radical Republican John Brown and a small band of followers, both white and black, launched a violent attack against the American system of slave labor at Harpers Ferry, Virginia (today West Virginia). While unsuccessful (and insane if one assumes he wanted something other than martyrdom), Brown’s raid did more than almost anything else in the 1850s to highlight the differences between northern and southern labor systems and the moral bankruptcy of the latter. Agree or disagree with his actions, he made it almost impossible for northern whites to claimed to be abolitionists to hide behind gradual programs or a vague hope for the future. For southern whites, it was a call to arms against increasingly radical anti-slavery forces in the north and the desires of slaves to escape. For African-Americans, at least the few who had the opportunity to take advantage of Brown’s actions, it was the deliverance from a hell of forced labor and degradation for which they had prayed. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2013/10/this-day-in-labor-history-october-16-1859"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2013/10/brown_john2.jpg,"Harpers Ferry, WV","39.323418,-77.7319766",,,
Erie Canal opens after over 1000 workers die building it.,26/10/1825,,"<p>On October 26, 1825, the Erie Canal opened, eight years after construction commenced. This engineering marvel would have enormous impacts on the future of American work, including spurring ever-greater industrialization, helping cement the Great Lakes states as a center of American industrialization, and ensuring New York would be the long-term center of American commerce. It also came at a cost of over 1000 dead workers. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2013/10/this-day-in-labor-history-october-26-1825"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2013/10/Excavation-Lockport.jpg,Erie Canal,"43.0227627,-78.88143337",,,
Nicholas Farwell’s hand is crushed working on railroad,30/10/1837,,"<p>On October 30, 1837, Nicholas Farwell, a train engineer toiling for the Boston and Worcester Rail Road Corporation fell off a train while at work and had his hand crushed by the train. Farwell sued the company for damages. The 1842 decision by the Massachusetts Supreme Court set into place the doctrine of worker risk. This decision set a vitally important precedent in American labor history that the worker voluntarily took on risk when he or she agreed to be employed on the job. Over the next century, tens thousands of Americans died on the job with employers doing nothing. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2013/10/this-day-in-labor-history-october-30-1837"">Read whole article</a></p>",,Massachusetts,"42.3788774,-72.032366",,,
Cherry Mine Fire in Illinois kills 259 workers.,13/11/1909,,"<p>On November 13, 1909, at the Cherry Mine in Cherry, Illinois, a coal car filled with hay for the mules who worked underground rolled down a track. Earlier that week, an electrical outage had struck the mine. The miners were then forced to use torches, kerosene lamps, and other flammable forms of lighting while at work. Hay sticking out from the edge of the car brushed up against a torch and caught fire. The car moved down the track, spreading the fire. As the mine caught fire, the company closed the oxygen supply to the mine. This tampered down the fire but also began suffocating the workers. 259 miners died, the worst coal mine fire in U.S. history. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2013/11/this-day-in-labor-history-november-13-1909"">Read whole article</a></p>",,"Cherry, Illinois","41.4269787,-89.213419",,,
WTO protests begin in Seattle.,30/11/1999,,"<p>On November 30, 1999, protests began in Seattle, Washington against the World Trade Organization. The WTO meetings offered unions, environmentalists, and various social and economic justice activists from around the world a forum to voice their rejection of the neoliberal free trade agreements of the late 20th century that had undermined American unionism, allowed corporations the mobility to flee meaningful labor agreements or environmental restrictions, thrown millions of farmers and indigenous peoples off their lands as cheap American agricultural goods flooded world markets, and stripped people around the world of the ability to influence the economic conditions of their nations and the social and economic safety nets created in the twentieth century to provide people with a modicum of dignity. These protests raised an important hue and cry against this injustice, but became most known for the violence that took place on the streets. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2013/11/this-day-in-labor-history-november-30-1999"">Read whole article</a></p>",,"Seattle, Washington","47.6038321,-122.3300624",,,
American Federation of Labor founded in Columbus,08/12/1886,,"<p>On December 8, 1886, the American Federation of Labor formed at a meeting of union officials in Columbus, Ohio. The most successful labor federation in American history, the AFL has long had its critics on both the left and right, but ultimately its founding president Samuel Gompers understood the realities of Gilded Age politics and how to negotiate the best possible deal for workers in that atmosphere. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2013/12/this-day-in-labor-history-december-8-1886"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2013/12/AFL-label.jpg,"Columbus, Ohio","39.9622601,-83.0007065",,,
Curt Flood sends letter to Major League Baseball demanding free agency.,24/12/1969,,"<p>Major League Baseball had long exploited its players. The key tool for this was the reserve clause. This gave owners total control over player labor, allowing the movement of players from team to team only through trade, release, or retirement. In other words, when the owner was ready to dispense with them or the player decided to quit. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2013/12/this-day-in-labor-history-december-24-1969"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2013/12/barra_flood.jpg,"St. Louis, IL","38.6268039,-90.1994097",,,
Federal Coal Mine Health and Safety Act signed.,30/12/1969,,"<p>On December 30, 1969, Richard Nixon signed the Federal Coal Mine Health and Safety Act into law. The first comprehensive legislation in American history to protect the lives of coal miners, it came only after tens of thousands of deaths in mine accidents and even more deaths from black lung and other breathing problems of the mines. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2013/12/this-day-in-labor-history-december-30-1969"">Read whole article</a></p>",,,#N/A,,,
Ellis Island opens.,01/01/1892,,"<p>On January 1, 1892, Ellis Island opened to process the millions of immigrants entering New York. Although certainly not only entry point for immigrants, it was the primary location where the immigrants needed to labor in American factories first experienced the country. Annie Moore, an Irish immigrant, was the first person to go through processing that morning, one of over 12 million who would enter the country from this point before the facility closed in 1954. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/01/this-day-in-labor-history-january-1-1892"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2014/01/583px-Ellis_Island_arrivals.jpg,"Ellis Island, NY","42.4253505,-76.3813253",,,
German Coast slave rebellion begins in Louisiana.,08/01/1811,,"<p>On January 8, 1811, the largest armed slave uprising in U.S. history took place. The German Coast Uprising in Louisiana had up to 500 participants marching to New Orleans to attempt a Haitian Revolution in the United States. Only 2 whites died in this uprising, showing the extreme difficulty any slave revolt had in succeeding or even making a dent in the slave power within the United States. Yet for the significance of this event, it is almost completely unknown in popular American history, even compared to the rest of slavery history. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/01/this-day-in-labor-history-january-8-1811"">Read whole article</a></p>",,Louisiana,"30.8703881,-92.007126",,,
Tompkins Square Riot.,13/01/1874,,"<p>On January 13, 1874, thousands of unemployed New Yorkers met in Tompkins Square Park to protest their unemployment and poverty. There, the police would beat them in the first large-scale state crackdown of the American white poor in the nation’s history. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/01/this-day-in-labor-history-january-13-1874"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2014/01/800px-Tompkins_square_riot_1874.jpg,"New York City, NY","40.7127281,-74.0060152",,,
Publication of Looking Backward.,14/01/1888,,"<p>On January 14, 1888, Edward Bellamy’s <em>Looking Backward, 2000-1887</em> was published. One of the two most influential books in American labor history (with <em>The Jungle</em> as the other), Bellamy’s treatise tapped into the dreams of thousands of Americans who found the promises of the post-Civil War economy a lie and were desperate for alternatives to the reality of Gilded Age capitalism. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/01/this-day-in-labor-history-january-14-1888"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2014/01/LookingBackward.jpg,,#N/A,,,
Ralph Chaplin writes “Solidarity Forever.”,15/01/1915,,"<p>On the night of January 15, 1915, the IWW writer and propagandist Ralph Chaplin  wrote the song “Solidarity Forever.” The song is emblematic of Wobbly culture. If there’s one thing the IWW did well, it was culture creation. This culture creation has done a great deal to give them outsized influence compared to their real accomplishments in American labor and radical history, continuing to make the union and its ideas relevant to activists today. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/01/this-day-in-labor-history-january-15-1915"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2014/01/Chaplin-ralph.jpg,,#N/A,,,
Lowell Female Labor Reform Association organizes and forces Massachusetts to investigate conditions in the Lowell textile mills.,13/02/1845,,"<p>On February 13, 1845, the Lowell Female Labor Reform Association forced the state of Massachusetts to hold hearings on reducing the work day in the state’s textile mills to 10 hours a day. The LFLRA had collected 2000 signatures to put pressure on the textile mill owners and state to improve the conditions in the factories. While the ability to interest state politicians in the conditions of workers was a success of sorts, not only did the workers fail to win, but this is a transitional moment in an industry that would soon replace these women with workers who had access to far less power to protest the conditions of their work, something that continues apparel companies have aimed for ever since. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/02/this-day-in-labor-history-february-13-1845"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2014/02/9843500.jpg,"Lowell, MA","42.6334247,-71.3161718",,,
"Theodore Roosevelt and Japanese government agree to Gentlemen’s Agreement, ends most Japanese immigration to the U.S. after west coast labor protests",15/02/1907,,"<p>West Coast employers wanted cheap labor. The region received very little immigration from southern and eastern Europe like the east, so they had to be creative. Originally, western employers hired the Chinese to do menial work, but the angry response from west coast labor that led to the Chinese Exclusion Act, the first major legislative victory for organized labor in the nation’s history, ended that supply in 1882. So employers turned to Japan. Japan in the 1880s was modernizing rapidly, but was still poor. Encouraging migration was a useful way to undermine internal social problems. Almost immediately after 1882, Japanese migration to the United States soared. Much of this was to the sugar plantations of the American soon-to-be colony in Hawaii, but large numbers came to California, Oregon, and Washington as well. There they would serve as a key part of the low-wage labor force for the next sixty years. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/02/this-day-in-labor-history-february-15-1907"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2014/02/japanese_americans_1.jpg,,#N/A,,,
"Pittston Coal Company slurry dam collapses in Logan County, West Virginia, 125 dead.",26/02/1972,,"<p>On February 26, 1972, a Pittston Coal Company slurry dam collapsed in Logan County, West Virginia. The ensuing flood of coal slurry would kill 125 people and demonstrate once again the horrific contempt the coal industry has for the people of West Virginia. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/02/this-day-in-labor-history-february-26-1972"">Read whole article</a></p>",,West Virginia,"38.4758406,-80.8408415",,,
Davis-Bacon Act signed.,03/03/1931,,"<p>This post is a special request from Anna in PDX to help her work out some thorny issues she faces in her local. If this series can be of use to your local or organizing needs, drop me a line. </p><p>On March 3, 1931, President Herbert Hoover signed the Davis-Bacon Act, establishing a requirement for the government to pay local prevailing wages on public works projects. Even since its passage, it’s been tainted with an accusation of racism, which will be the subject of today’s post, as we try to untangle the complex knot of race and labor in American history.</p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/03/this-day-in-labor-history-march-3-1931"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2014/02/800px-Bacon_Davis.jpg,,#N/A,,,
LaFollette Seamen’s Act signed,04/03/1915,,"<p>On March 4, 1915, President Woodrow Wilson signed the LaFollette Seamen’s Act, creating standards for working conditions on boats that the U.S. would enforce on all ships stopping at American ports, whether under American flags or not. It was not only a major early victory for American labor but is strong evidence behind the assertion that Woodrow Wilson is the most pro-union president in American history before FDR. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/03/this-day-in-labor-history-march-4-1915"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2014/03/Furuseth-La_Follette-Steffens-1915.jpeg,,#N/A,,,
Lordstown Strike,05/03/1972,,"<p>On March 5, 1972, the workers at General Motors’ plant in Lordstown, Ohio went on strike after authorizing it two days prior. They were angry about sped-up work at their factory, but ultimately this was a young and diverse workforce angry at the degrading and mind-numbing nature of industrial work. The 3-week strike received national attention as much for the generational rebellion it summed up as the labor strife itself. Employers and union leaders both feared the “Lordstown Syndrome” that seemed to be taking over American workplaces as young workers wanted more for their lives than a lifetime on the assembly line. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/03/this-day-in-labor-history-march-5-1972"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2014/03/30606.preview.jpg,"Lordstown, Ohi","41.165613,-80.857585",,,
Salt of the Earth premiers,14/03/1954,,"<p>On March 14, 1954, the great labor film Salt of the Earth, a fictionalized version of a 1950 Mine, Mill strike in the zinc mines of southwestern New Mexico, premiered despite being lambasted as a communist plot, subjected to police harassment, and having one of its leads deported to Mexico. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/03/this-day-in-labor-history-march-14-1954"">Read whole article</a></p>",,,#N/A,,,
Postal Workers go on strike,18/03/1970,,"<p>On March 18, 1970, postal workers around the nation went on strike. This illegal but pioneering strike of public sector workers not only forced the Nixon Administration to cave but ushered in a decade of working class restlessness against their own staid union officials and a decade of public sector activism that would spur an enormous growth in union organizing among public employees. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/03/this-day-in-labor-history-march-18-1970"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2014/03/US_Postal_Strike_1970.jpg,,#N/A,,,
"Founding of Republican Party, free labor ideology",20/03/1854,,"<p>On March 20, 1854, the Republican Party was founded at a meeting in Ripon, Wisconsin. Ideas of labor, both free and slave, were central to Republican Party ideology and would have massive implications for decades, not only with the end of slavery during the Civil War, but for white labor through the Gilded Age. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/03/this-day-in-labor-history-march-20-1854"">Read whole article</a></p>",,"Ripon, Wisconsin","43.8424502,-88.8372972",,,
"Police tear gas strikers at Hormel plant in Austin, Minnesota",11/04/1986,,"<p>On April 11, 1986, police fired tear gas at strikers at the Hormel plant in Austin, Minnesota after UFCW Local P-9 shut down the plant by blocking the main gate to the building. 17 workers were arrested that day. The Hormel Strike was notable both for its militant local and the reluctance of the UFCW to put up a strong fight against contractual rollbacks. It also pioneered the modern corporate campaign as a labor tactic. Most importantly, the Hormel strike was a sign to the entire nation of the weakness of the labor movement by the late 1980s and the aggressive actions companies would now take to destroy their employees’ unions, a trend that has continued to the present. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/04/this-day-in-labor-history-april-11-1986"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2014/04/strike2.jpg,"Austin, Minnesota","43.6680928,-92.9744896",,,
Toledo Auto-Lite strike begins.,12/04/1934,,"<p>The Electric Auto-Lite company made electrical starters and spark plugs at a factory in Toledo. Although we don’t think of the American Federation of Labor as organizing industrial workers–because usually they didn’t–by the early 1930s, the pressure to engage in industrial strikes was forcing the AFL to move in a limited way on this front, particularly after the passage of the National Industrial Recovery Act in 1933. So the AFL sought to organize the Auto-Lite plant, as well as several other auto plants. It had some early success, establishing temporary industrial unions at a few plants by March 1934. </p><p><a href=""http://www.lawyersgunsmoneyblog.com/2014/04/day-labor-history-april-12-1934"">Read whole article</a></p>",http://lawyersgunsmon.wpengine.com/wp-content/uploads/2014/04/11_2.jpg,"Toledo,OH","41.6786754,-83.5127283",,,
